,HomePriceIndex,ConsumerPriceIndex,GDP,MedianHouseholdIncome,S&P500,DowJones,HomePriceIndex_Lag1,S&P500_Lag1,DowJones_Lag1,HomePriceIndex_Lag2,S&P500_Lag2,DowJones_Lag2,HomePriceIndex_Lag3,S&P500_Lag3,DowJones_Lag3,HomePriceIndex_RollMean3,CPI_MedianIncome,GDP_HousingStarts,SP500_MortgageRate,DowJones_MortgageRate
2000-01-05,100.551,169.3,10002.179,41990.0,1402.1099853515625,11122.650390625,100.551,1399.4200439453125,10997.9296875,100.551,1455.219970703125,11357.509765625,100.551,1455.219970703125,11357.509765625,100.551,7108907.000000001,16363564.844,11427.196380615234,90649.60068359376
2000-01-06,100.551,169.3,10002.179,41990.0,1403.449951171875,11253.259765625,100.551,1402.1099853515625,11122.650390625,100.551,1399.4200439453125,10997.9296875,100.551,1455.219970703125,11357.509765625,100.551,7108907.000000001,16363564.844,11438.11710205078,91714.06708984375
2000-01-07,100.551,169.3,10002.179,41990.0,1441.469970703125,11522.5595703125,100.551,1403.449951171875,11253.259765625,100.551,1402.1099853515625,11122.650390625,100.551,1399.4200439453125,10997.9296875,100.551,7108907.000000001,16363564.844,11747.980261230468,93908.86049804688
2000-01-10,100.551,169.3,10002.179,41990.0,1457.5999755859375,11572.2001953125,100.551,1441.469970703125,11522.5595703125,100.551,1403.449951171875,11253.259765625,100.551,1402.1099853515625,11122.650390625,100.551,7108907.000000001,16363564.844,11879.439801025392,94313.43159179688
2000-01-11,100.551,169.3,10002.179,41990.0,1438.56005859375,11511.080078125,100.551,1457.5999755859375,11572.2001953125,100.551,1441.469970703125,11522.5595703125,100.551,1403.449951171875,11253.259765625,100.551,7108907.000000001,16363564.844,11724.264477539064,93815.30263671876
2000-01-12,100.551,169.3,10002.179,41990.0,1432.25,11551.099609375,100.551,1438.56005859375,11511.080078125,100.551,1457.5999755859375,11572.2001953125,100.551,1441.469970703125,11522.5595703125,100.551,7108907.000000001,16363564.844,11672.8375,94141.46181640626
2000-01-13,100.551,169.3,10002.179,41990.0,1449.6800537109375,11582.4296875,100.551,1432.25,11551.099609375,100.551,1438.56005859375,11511.080078125,100.551,1457.5999755859375,11572.2001953125,100.551,7108907.000000001,16363564.844,11814.892437744142,94396.801953125
2000-01-14,100.551,169.3,10002.179,41990.0,1465.1500244140625,11722.98046875,100.551,1449.6800537109375,11582.4296875,100.551,1432.25,11551.099609375,100.551,1438.56005859375,11511.080078125,100.551,7108907.000000001,16363564.844,11984.92719970703,95893.98023437499
2000-01-18,100.551,169.3,10002.179,41990.0,1455.1400146484375,11560.7197265625,100.551,1465.1500244140625,11722.98046875,100.551,1449.6800537109375,11582.4296875,100.551,1432.25,11551.099609375,100.551,7108907.000000001,16363564.844,11903.045319824218,94566.68736328125
2000-01-19,100.551,169.3,10002.179,41990.0,1455.9000244140625,11489.3603515625,100.551,1455.1400146484375,11560.7197265625,100.551,1465.1500244140625,11722.98046875,100.551,1449.6800537109375,11582.4296875,100.551,7108907.000000001,16363564.844,11909.262199707031,93982.96767578124
2000-01-20,100.551,169.3,10002.179,41990.0,1445.5699462890625,11351.2998046875,100.551,1455.9000244140625,11489.3603515625,100.551,1455.1400146484375,11560.7197265625,100.551,1465.1500244140625,11722.98046875,100.551,7108907.000000001,16363564.844,11824.76216064453,92853.63240234375
2000-01-21,100.551,169.3,10002.179,41990.0,1441.3599853515625,11251.7099609375,100.551,1445.5699462890625,11351.2998046875,100.551,1455.9000244140625,11489.3603515625,100.551,1455.1400146484375,11560.7197265625,100.551,7108907.000000001,16363564.844,11905.633479003905,92939.12427734374
2000-01-24,100.551,169.3,10002.179,41990.0,1401.530029296875,11008.169921875,100.551,1441.3599853515625,11251.7099609375,100.551,1445.5699462890625,11351.2998046875,100.551,1455.9000244140625,11489.3603515625,100.551,7108907.000000001,16363564.844,11576.638041992188,90927.4835546875
2000-01-25,100.551,169.3,10002.179,41990.0,1410.030029296875,11029.8896484375,100.551,1401.530029296875,11008.169921875,100.551,1441.3599853515625,11251.7099609375,100.551,1445.5699462890625,11351.2998046875,100.551,7108907.000000001,16363564.844,11646.848041992187,91106.88849609374
2000-01-26,100.551,169.3,10002.179,41990.0,1404.0899658203125,11032.990234375,100.551,1410.030029296875,11029.8896484375,100.551,1401.530029296875,11008.169921875,100.551,1441.3599853515625,11251.7099609375,100.551,7108907.000000001,16363564.844,11597.78311767578,91132.4993359375
2000-01-27,100.551,169.3,10002.179,41990.0,1398.56005859375,11028.01953125,100.551,1404.0899658203125,11032.990234375,100.551,1410.030029296875,11029.8896484375,100.551,1401.530029296875,11008.169921875,100.551,7108907.000000001,16363564.844,11552.106083984374,91091.441328125
2000-01-28,100.551,169.3,10002.179,41990.0,1360.1600341796875,10738.8701171875,100.551,1398.56005859375,11028.01953125,100.551,1404.0899658203125,11032.990234375,100.551,1410.030029296875,11029.8896484375,100.551,7108907.000000001,16363564.844,11221.320281982422,88595.67846679688
2000-01-31,100.551,169.3,10002.179,41990.0,1394.4599609375,10940.5302734375,100.551,1360.1600341796875,10738.8701171875,100.551,1398.56005859375,11028.01953125,100.551,1404.0899658203125,11032.990234375,100.551,7108907.000000001,16363564.844,11504.294677734375,90259.37475585938
2000-02-01,101.339,170.0,10002.179,41990.0,1409.280029296875,11041.0498046875,100.551,1394.4599609375,10940.5302734375,100.551,1360.1600341796875,10738.8701171875,100.551,1398.56005859375,11028.01953125,100.81366666666668,7138300.0,17373784.923,11626.560241699219,91088.66088867188
2000-02-02,101.339,170.0,10002.179,41990.0,1409.1199951171875,11003.2001953125,101.339,1409.280029296875,11041.0498046875,100.551,1394.4599609375,10940.5302734375,100.551,1360.1600341796875,10738.8701171875,101.07633333333332,7138300.0,17373784.923,11625.239959716797,90776.40161132812
2000-02-03,101.339,170.0,10002.179,41990.0,1424.969970703125,11013.4404296875,101.339,1409.1199951171875,11003.2001953125,101.339,1409.280029296875,11041.0498046875,100.551,1394.4599609375,10940.5302734375,101.339,7138300.0,17373784.923,11756.002258300781,90860.88354492188
2000-02-04,101.339,170.0,10002.179,41990.0,1424.3699951171875,10963.7998046875,101.339,1424.969970703125,11013.4404296875,101.339,1409.1199951171875,11003.2001953125,101.339,1409.280029296875,11041.0498046875,101.339,7138300.0,17373784.923,11751.052459716797,90451.34838867188
2000-02-07,101.339,170.0,10002.179,41990.0,1424.239990234375,10905.7900390625,101.339,1424.3699951171875,10963.7998046875,101.339,1424.969970703125,11013.4404296875,101.339,1409.1199951171875,11003.2001953125,101.339,7138300.0,17373784.923,11749.979919433594,89972.76782226562
2000-02-08,101.339,170.0,10002.179,41990.0,1441.719970703125,10957.599609375,101.339,1424.239990234375,10905.7900390625,101.339,1424.3699951171875,10963.7998046875,101.339,1424.969970703125,11013.4404296875,101.339,7138300.0,17373784.923,11894.189758300781,90400.19677734375
2000-02-09,101.339,170.0,10002.179,41990.0,1411.7099609375,10699.16015625,101.339,1441.719970703125,10957.599609375,101.339,1424.239990234375,10905.7900390625,101.339,1424.3699951171875,10963.7998046875,101.339,7138300.0,17373784.923,11646.607177734375,88268.0712890625
2000-02-10,101.339,170.0,10002.179,41990.0,1416.8299560546875,10643.6298828125,101.339,1411.7099609375,10699.16015625,101.339,1441.719970703125,10957.599609375,101.339,1424.239990234375,10905.7900390625,101.339,7138300.0,17373784.923,11688.847137451172,87809.94653320312
2000-02-11,101.339,170.0,10002.179,41990.0,1387.1199951171875,10425.2099609375,101.339,1416.8299560546875,10643.6298828125,101.339,1411.7099609375,10699.16015625,101.339,1441.719970703125,10957.599609375,101.339,7138300.0,17373784.923,11596.323159179687,87154.75527343749
2000-02-14,101.339,170.0,10002.179,41990.0,1389.93994140625,10519.83984375,101.339,1387.1199951171875,10425.2099609375,101.339,1416.8299560546875,10643.6298828125,101.339,1411.7099609375,10699.16015625,101.339,7138300.0,17373784.923,11619.897910156249,87945.86109374999
2000-02-15,101.339,170.0,10002.179,41990.0,1402.050048828125,10718.08984375,101.339,1389.93994140625,10519.83984375,101.339,1387.1199951171875,10425.2099609375,101.339,1416.8299560546875,10643.6298828125,101.339,7138300.0,17373784.923,11721.138408203124,89603.23109375
2000-02-16,101.339,170.0,10002.179,41990.0,1387.6700439453125,10561.41015625,101.339,1402.050048828125,10718.08984375,101.339,1389.93994140625,10519.83984375,101.339,1387.1199951171875,10425.2099609375,101.339,7138300.0,17373784.923,11600.921567382811,88293.38890625
